Kejadian,KELURAHAN,KECAMATAN,LUAS WILAYAH,KETINGGIAN WILAYAH,RAIN_D-1,RAINFALL_D-1,RAIN_LAST3D,ARAINFALL_LAST3D,RAIN_LAST7D,RAINFALL_LAST7D,TEPS_OF_DAY,CIPINANG HULU,STATUS_CIPINANG HULU,SUNTER HULU,STATUS_SUNTER HULU,PULO GADUNG,STATUS_PULO GADUNG
BANJIR,CILILITAN,Kramatjati (Kramat Jati),1.8,26,NO,0,NO,0,NO,20,TIDAK HUJAN,80,NORMAL,60,NORMAL,330,NORMAL
BANJIR,KEBON MANGGIS,Matraman,0.78,10,NO,0,NO,0,NO,20,TIDAK HUJAN,80,NORMAL,60,NORMAL,330,NORMAL
BANJIR,RAMBUTAN,Ciracas,2.09,34,NO,0,NO,35,NO,35,TIDAK HUJAN,110,NORMAL,90,NORMAL,330,NORMAL
BANJIR,KAMPUNG TENGAH,Kramatjati (Kramat Jati),2.03,28,NO,0,NO,35,NO,35,TIDAK HUJAN,110,NORMAL,90,NORMAL,330,NORMAL
BANJIR,BATU AMPAR,Kramatjati (Kramat Jati),2.55,29,NO,0,NO,35,NO,35,TIDAK HUJAN,110,NORMAL,90,NORMAL,330,NORMAL
BANJIR,BATU AMPAR,Kramatjati (Kramat Jati),2.55,29,YES,8.5,YES,38.5,NO,61,HUJAN RINGAN,135,NORMAL,139,NORMAL,420,NORMAL
BANJIR,BALEKAMBANG,Kramatjati (Kramat Jati),1.67,34,YES,8.5,YES,38.5,NO,61,HUJAN RINGAN,135,NORMAL,139,NORMAL,420,NORMAL
BANJIR,CIRACAS,Ciracas,9.93,44,YES,8.5,YES,38.5,NO,61,HUJAN RINGAN,135,NORMAL,139,NORMAL,420,NORMAL
BANJIR,RAMBUTAN,Ciracas,2.09,34,YES,8.5,YES,38.5,NO,61,HUJAN RINGAN,135,NORMAL,139,NORMAL,420,NORMAL
BANJIR,CIPINANG MELAYU,Makasar,2.53,23,YES,8.5,YES,38.5,NO,61,HUJAN RINGAN,135,NORMAL,139,NORMAL,420,NORMAL
BANJIR,MAKASAR,Makasar,1.85,22,YES,8.5,YES,38.5,NO,61,HUJAN RINGAN,135,NORMAL,139,NORMAL,420,NORMAL
BANJIR,PINANGRANTI,Makasar,1.89,30,YES,8.5,YES,38.5,NO,61,HUJAN RINGAN,135,NORMAL,139,NORMAL,420,NORMAL
BANJIR,LUBANG BUAYA,Cipayung,3.72,26,YES,8.5,YES,38.5,NO,61,HUJAN RINGAN,135,NORMAL,139,NORMAL,420,NORMAL
BANJIR,BAMBU APUS,Cipayung,3.17,32,YES,8.5,YES,38.5,NO,61,HUJAN RINGAN,135,NORMAL,139,NORMAL,420,NORMAL
BANJIR,KAMPUNG MELAYU,Jatinegara,0.48,10,YES,19,YES,9.5,NO,12,HUJAN RINGAN,100,NORMAL,80,NORMAL,420,NORMAL
BANJIR,KAMPUNG MELAYU,Jatinegara,0.48,10,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,RAWA BUNGA,Jatinegara,0.88,12,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,CIPINANG CEMPEDAK,Jatinegara,1.67,18,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,BIDARA CINA,Jatinegara,1.26,19,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,CAKUNG TIMUR,Cakung,9.81,4,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,PENGGILINGAN,Cakung,4.48,7,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
