Kejadian,KELURAHAN,RAIN_D-1,RAINFALL_D-1,RAIN_LAST3D,ARAINFALL_LAST3D,RAIN_LAST7D,RAINFALL_LAST7D,TEPS_OF_DAY,CIPINANG HULU,SUNTER HULU,PULO GADUNG
BANJIR,DUREN SAWIT,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,DUREN SAWIT,YES,50,YES,26,NO,53,TIDAK HUJAN,165,230,660
BANJIR,DUREN SAWIT,YES,2,NO,0,NO,136.5,HUJAN RINGAN,100,100,330
BANJIR,DUREN SAWIT,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,DUREN SAWIT,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,DUREN SAWIT,YES,2,NO,11,NO,91,HUJAN RINGAN,120,80,330
BANJIR,GEDONG,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,GEDONG,YES,5,NO,6.5,NO,10.5,HUJAN RINGAN,105,110,420
BANJIR,GEDONG,YES,39.8,YES,26.3,YES,101.8,HUJAN SEDANG,115,200,735
BANJIR,HALIM PERDANA KUSUMA,YES,39.8,YES,26.3,YES,101.8,HUJAN SEDANG,115,200,735
BANJIR,JATI,YES,9.5,YES,24.5,YES,93.5,HUJAN RINGAN,105,90,330
BANJIR,JATINEGARA,NO,0,NO,5,NO,25,TIDAK HUJAN,90,105,330
BANJIR,JATINEGARA,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,JATINEGARA,YES,50,YES,26,NO,53,TIDAK HUJAN,165,230,660
BANJIR,JATINEGARA,YES,50,YES,26,NO,53,TIDAK HUJAN,165,230,660
BANJIR,JATINEGARA,YES,47,YES,103,NO,182,HUJAN SEDANG,175,260,500
BANJIR,JATINEGARA,YES,41,YES,87,NO,154,HUJAN SEDANG,160,175,620
BANJIR,JATINEGARA,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,JATINEGARA,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,JATINEGARA,YES,2,NO,11,NO,91,HUJAN RINGAN,120,80,330
BANJIR,JATINEGARA,YES,9.5,YES,24.5,YES,93.5,HUJAN RINGAN,105,90,330
BANJIR,KAMPUNG MELAYU,NO,0,NO,0,NO,0,TIDAK HUJAN,160,250,450
BANJIR,KAMPUNG MELAYU,NO,0,NO,2,NO,2,TIDAK HUJAN,75,90,330
BANJIR,KAMPUNG MELAYU,YES,45,NO,81,NO,81,HUJAN SEDANG,155,250,500
BANJIR,KAMPUNG MELAYU,YES,19.3,YES,14.8,YES,147,HUJAN RINGAN,110,120,331
BANJIR,KAMPUNG MELAYU,YES,49.9,YES,126,NO,126,HUJAN LEBAT,135,190,331
BANJIR,KAMPUNG MELAYU,NO,0,NO,79,NO,232,TIDAK HUJAN,120,205,340
BANJIR,KAMPUNG MELAYU,NO,0,NO,0,NO,22,TIDAK HUJAN,85,100,330
BANJIR,KAMPUNG MELAYU,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,KAMPUNG MELAYU,YES,41,YES,87,NO,154,HUJAN SEDANG,160,175,620
BANJIR,KAMPUNG MELAYU,YES,5,NO,6.5,NO,10.5,HUJAN RINGAN,105,110,420
BANJIR,KAMPUNG MELAYU,YES,2,NO,0,NO,136.5,HUJAN RINGAN,100,100,330
BANJIR,KAMPUNG MELAYU,NO,0,NO,9,NO,137,TIDAK HUJAN,90,80,330
BANJIR,KAMPUNG MELAYU,NO,0,NO,0,NO,20,TIDAK HUJAN,80,60,330
BANJIR,KAMPUNG MELAYU,YES,19,YES,9.5,NO,12,HUJAN RINGAN,100,80,420
BANJIR,KAMPUNG MELAYU,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,KAMPUNG MELAYU,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,KAMPUNG MELAYU,NO,0,YES,83,NO,96,TIDAK HUJAN,90,75,400
BANJIR,KAMPUNG MELAYU,NO,0,YES,83,NO,96,TIDAK HUJAN,90,75,400
BANJIR,KAMPUNG MELAYU,YES,2,NO,11,NO,91,HUJAN RINGAN,120,80,330
BANJIR,KAMPUNG MELAYU,YES,9.5,YES,24.5,YES,93.5,HUJAN RINGAN,105,90,330
BANJIR,KAMPUNG MELAYU,YES,9.5,YES,24.5,YES,93.5,HUJAN RINGAN,105,90,330
BANJIR,KAMPUNG MELAYU,YES,39.8,YES,26.3,YES,101.8,HUJAN SEDANG,115,200,735
BANJIR,KAMPUNG TENGAH,NO,0,NO,0,NO,83,TIDAK HUJAN,90,140,330
BANJIR,KAMPUNG TENGAH,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,KAMPUNG TENGAH,NO,0,NO,35,NO,35,TIDAK HUJAN,110,90,330
BANJIR,KAMPUNG TENGAH,YES,39.8,YES,26.3,YES,101.8,HUJAN SEDANG,115,200,735
BANJIR,Kayu Manis,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,Kayu Manis,YES,50,YES,26,NO,53,TIDAK HUJAN,165,230,660
BANJIR,KAYU MANIS,YES,47,YES,103,NO,182,HUJAN SEDANG,175,260,500
BANJIR,KAYU PUTIH,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,KAYU PUTIH,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,KAYU PUTIH,YES,9.5,YES,24.5,YES,93.5,HUJAN RINGAN,105,90,330
BANJIR,Kebon Manggis,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,KEBON MANGGIS,YES,41,YES,87,NO,154,HUJAN SEDANG,160,175,620
BANJIR,KEBON MANGGIS,NO,0,NO,0,NO,20,TIDAK HUJAN,80,60,330
BANJIR,KEBON MANGGIS,YES,9.5,YES,24.5,YES,93.5,HUJAN RINGAN,105,90,330
BANJIR,KEBON PALA,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,KEBON PALA,YES,14,NO,14,NO,67,HUJAN RINGAN,100,60,380
BANJIR,KEBON PALA,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,KEBON PALA,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,KEBON PALA,NO,0,YES,83,NO,96,TIDAK HUJAN,90,75,400
BANJIR,KEBON PALA,YES,2,NO,11,NO,91,HUJAN RINGAN,120,80,330
BANJIR,KEBON PALA,YES,9.5,YES,24.5,YES,93.5,HUJAN RINGAN,105,90,330
BANJIR,KLENDER,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,KLENDER,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,KLENDER,YES,2,NO,11,NO,91,HUJAN RINGAN,120,80,330
BANJIR,Kramatjati,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,KRAMATJATI,YES,50,YES,26,NO,53,TIDAK HUJAN,165,230,660
BANJIR,KRAMATJATI,YES,47,YES,103,NO,182,HUJAN SEDANG,175,260,500
BANJIR,KRAMATJATI,YES,41,YES,87,NO,154,HUJAN SEDANG,160,175,620
BANJIR,LUBANG BUAYA,YES,49.9,YES,126,NO,126,HUJAN LEBAT,135,190,331
BANJIR,LUBANG BUAYA,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,LUBANG BUAYA,YES,8.5,YES,38.5,NO,61,HUJAN RINGAN,135,139,420
BANJIR,LUBANG BUAYA,YES,2,NO,11,NO,91,HUJAN RINGAN,120,80,330
BANJIR,MAKASAR,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,MAKASAR,YES,8.5,YES,38.5,NO,61,HUJAN RINGAN,135,139,420
BANJIR,MAKASAR,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,MAKASAR,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,MAKASAR,YES,39.8,YES,26.3,YES,101.8,HUJAN SEDANG,115,200,735
BANJIR,MALAKA SARI,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,MALAKA SARI,NO,0,NO,46,NO,57,TIDAK HUJAN,90,85,330
BANJIR,PEKAYON,YES,2,NO,11,NO,91,HUJAN RINGAN,120,80,330
BANJIR,PENGGILINGAN,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,PENGGILINGAN,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,PENGGILINGAN,YES,2,NO,11,NO,91,HUJAN RINGAN,120,80,330
BANJIR,PENGGILINGAN,YES,9.5,YES,24.5,YES,93.5,HUJAN RINGAN,105,90,330
BANJIR,PINANGRANTI,YES,8.5,YES,38.5,NO,61,HUJAN RINGAN,135,139,420
BANJIR,PINANGRANTI,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,PINANGRANTI,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,PINANGRANTI,YES,39.8,YES,26.3,YES,101.8,HUJAN SEDANG,115,200,735
BANJIR,Pisangan Baru,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,PISANGAN BARU,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,PISANGAN BARU,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,PISANGAN TIMUR,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,PISANGAN TIMUR,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,PONDOK BAMBU,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,PONDOK BAMBU,YES,2,NO,0,NO,136.5,HUJAN RINGAN,100,100,330
BANJIR,PONDOK BAMBU,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,PONDOK BAMBU,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,PONDOK KELAPA,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,PONDOK KELAPA,NO,0,NO,46,NO,57,TIDAK HUJAN,90,85,330
BANJIR,PONDOK KELAPA,YES,2,NO,11,NO,91,HUJAN RINGAN,120,80,330
BANJIR,PONDOK KELAPA,YES,9.5,YES,24.5,YES,93.5,HUJAN RINGAN,105,90,330
BANJIR,PONDOK KELAPA,YES,39.8,YES,26.3,YES,101.8,HUJAN SEDANG,115,200,735
BANJIR,PULO GADUNG,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,PULO GADUNG,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,PULO GADUNG,YES,2,NO,11,NO,91,HUJAN RINGAN,120,80,330
BANJIR,PULO GADUNG,YES,2,NO,11,NO,91,HUJAN RINGAN,120,80,330
BANJIR,PULO GADUNG,YES,9.5,YES,24.5,YES,93.5,HUJAN RINGAN,105,90,330
BANJIR,PULO GADUNG,YES,39.8,YES,26.3,YES,101.8,HUJAN SEDANG,115,200,735
BANJIR,RAMBUTAN,NO,0,NO,0,NO,83,TIDAK HUJAN,90,140,330
BANJIR,RAMBUTAN,YES,49.9,YES,126,NO,126,HUJAN LEBAT,135,190,331
BANJIR,RAMBUTAN,YES,6.5,NO,4,NO,4,HUJAN RINGAN,75,215,360
BANJIR,RAMBUTAN,NO,0,NO,35,NO,35,TIDAK HUJAN,110,90,330
BANJIR,RAMBUTAN,YES,8.5,YES,38.5,NO,61,HUJAN RINGAN,135,139,420
BANJIR,RAMBUTAN,YES,2,NO,11,NO,91,HUJAN RINGAN,120,80,330
BANJIR,RAWA BUNGA,NO,0,NO,0,NO,22,TIDAK HUJAN,85,100,330
